month,day,hour,elec,gas 
1,1,1,0,0.746
1,1,2,0,0.672
1,1,3,0,0.075
1,1,4,0,0.141
1,1,5,0,0.078
1,1,6,0,0.117
1,1,7,0,0.125
1,1,8,0.305,0.152
1,1,9,7.935,0.275
1,1,10,5.799,0.149
1,1,11,5.799,0.616
1,1,12,0.305,0.36
1,1,13,0,1.128
1,1,14,0,0.787
1,1,15,0,0.376
1,1,16,0,0.501
1,1,17,4.883,0.614
1,1,18,8.546,0.832
1,1,19,7.935,1.181
1,1,20,6.104,0.891
1,1,21,4.883,1.045
1,1,22,4.883,1.12
1,1,23,4.578,0.947
1,1,24,5.494,0.744
1,2,1,0,0.336
1,2,2,0,0.085
1,2,3,0,0.133
1,2,4,0,0.07
1,2,5,0,0.144
1,2,6,0,0.074
1,2,7,0,0.15
1,2,8,0,0.557
1,2,9,8.545,0.461
1,2,10,6.41,0.824
1,2,11,6.104,0.675
1,2,12,0,0.299
1,2,13,0,0.133
1,2,14,0,0.491
1,2,15,0,0.376
1,2,16,0,0.125
1,2,17,5.188,0.416
1,2,18,6.714,0.795
1,2,19,6.104,1.802
1,2,20,5.494,0.683
1,2,21,6.714,0.909
1,2,22,6.41,0.768
1,2,23,4.883,0.787
1,2,24,5.188,0.619
1,3,1,0,0.381
1,3,2,0,0.077
1,3,3,0,0.155
1,3,4,0,0.085
1,3,5,0,0.15
1,3,6,0,0.088
1,3,7,4.883,0.189
1,3,8,7.02,0.336
1,3,9,6.104,0.461
1,3,10,6.409,0.798
1,3,11,6.409,0.6
1,3,12,0,0.498
1,3,13,0,0.2
1,3,14,0,0.158
1,3,15,0.306,0.344
1,3,16,6.104,0.309
1,3,17,11.292,0.453
1,3,18,10.072,0.864
1,3,19,6.409,1.899
1,3,20,6.714,0.971
1,3,21,5.799,0.84
1,3,22,7.63,1.032
1,3,23,5.494,0.818
1,3,24,5.188,0.699
1,4,1,0,0.301
1,4,2,0,0.08
1,4,3,0,0.144
1,4,4,0,0.086
1,4,5,0,0.136
1,4,6,0,0.096
1,4,7,4.883,0.176
1,4,8,8.241,0.448
1,4,9,6.409,0.992
1,4,10,7.019,0.442
1,4,11,5.494,0.246
1,4,12,0,0.152
1,4,13,0,0.08
1,4,14,0,0.154
1,4,15,0,0.078
1,4,16,0,0.154
1,4,17,5.188,0.195
1,4,18,6.41,1.923
1,4,19,6.409,0.885
1,4,20,5.799,0.877
1,4,21,6.409,1.096
1,4,22,5.188,0.808
1,4,23,4.883,0.816
1,4,24,5.494,0.907
1,5,1,0,0.299
1,5,2,0,0.096
1,5,3,0,0.133
1,5,4,0,0.072
1,5,5,0,0.141
1,5,6,0,0.075
1,5,7,4.883,0.179
1,5,8,8.851,0.722
1,5,9,7.325,1.059
1,5,10,7.019,0.576
1,5,11,5.189,0.149
1,5,12,0,0.147
1,5,13,0,0.075
1,5,14,0,0.13
1,5,15,0,0.086
1,5,16,0,0.168
1,5,17,5.188,0.64
1,5,18,7.935,0.837
1,5,19,7.63,1.128
1,5,20,6.104,0.901
1,5,21,5.799,0.931
1,5,22,8.241,1.136
1,5,23,5.188,0.715
1,5,24,5.494,0.776
1,6,1,0,0.613
1,6,2,0,0.075
1,6,3,0,0.141
1,6,4,0,0.077
1,6,5,0,0.15
1,6,6,0,0.074
1,6,7,4.883,0.184
1,6,8,7.63,0.278
1,6,9,5.799,0.877
1,6,10,6.409,0.344
1,6,11,7.63,0.917
1,6,12,0,0.352
1,6,13,0,0.299
1,6,14,0,0.296
1,6,15,0,0.229
1,6,16,0,0.134
1,6,17,4.883,0.25
1,6,18,7.325,0.888
1,6,19,7.019,1.76
1,6,20,5.799,0.856
1,6,21,5.189,1.022
1,6,22,4.883,1.072
1,6,23,6.714,0.88
1,6,24,4.578,0.685
1,7,1,0,0.723
1,7,2,0,0.408
1,7,3,0,0.301
1,7,4,0,0.08
1,7,5,0,0.16
1,7,6,0,0.088
1,7,7,4.883,0.211
1,7,8,5.799,0.216
1,7,9,4.883,0.24
1,7,10,5.799,0.597
1,7,11,5.189,0.587
1,7,12,0,0.144
1,7,13,0,0.128
1,7,14,0,0.152
1,7,15,0,0.109
1,7,16,0,0.304
1,7,17,5.188,0.309
1,7,18,6.409,0.763
1,7,19,5.189,1.989
1,7,20,5.798,1.163
1,7,21,7.325,1.011
1,7,22,4.883,0.824
1,7,23,4.273,0.77
1,7,24,3.968,0.608
1,8,1,0,0.262
1,8,2,0,0.114
1,8,3,0,0.139
1,8,4,0,0.109
1,8,5,0,0.134
1,8,6,0,0.112
1,8,7,4.883,0.184
1,8,8,5.494,0.24
1,8,9,5.188,0.221
1,8,10,5.494,0.384
1,8,11,6.714,0.723
1,8,12,0,0.168
1,8,13,0,0.109
1,8,14,0.916,1.213
1,8,15,0.305,0.39
1,8,16,0,0.413
1,8,17,4.883,0.592
1,8,18,7.02,1.08
1,8,19,5.493,1.64
1,8,20,5.494,0.869
1,8,21,6.409,1.184
1,8,22,5.494,0.784
1,8,23,4.272,0.734
1,8,24,4.578,1.029
1,9,1,0,0.403
1,9,2,0,0.16
1,9,3,0,0.093
1,9,4,0,0.152
1,9,5,0,0.093
1,9,6,0,0.158
1,9,7,4.884,0.149
1,9,8,7.63,0.651
