sample,PI (%),CBR (%),model y
4,10.0,4.18,4.1769670494390425
10,10.7,3.45,4.09807334486284
11,16.0,3.94,3.500735295928731
12,18.5,3.28,3.2189720652994347
20,20.0,1.5,3.0499141269218564
6,20.0,3.2,3.0499141269218564
15,22.0,4.92,2.8245035424184195
18,22.0,3.12,2.8245035424184195
16,22.4,3.28,2.7794214255177323
7,24.0,1.56,2.599092957914982
13,24.0,2.95,2.599092957914982
3,25.0,2.03,2.4863876656632637
9,26.0,2.05,2.373682373411545
5,27.0,2.79,2.2609770811598264
8,28.0,2.54,2.148271788908108
19,31.0,1.31,1.8101559121529518
2,35.0,1.06,1.3593347431460776
